processed_text,sentiment,review_length
hôtel exceptionnel cœur tun recommand viv tout person passag mission centr personnel d’un grand gentilless tres professionnel immens merc réception saousen …,Positive,22
bonjour écris fair part immens décept – être …,Neutral,9
vérit hont l’hôteller tunisien cet établ n’a absolu rien d’un hôtel professionnel l’ambianc indign d’un lieu cens accueil voyageur — impossibl d’y trouv moindr calm repos …,Neutral,27
excellent séjour business hôtel j’ai pass séjour exceptionnel cet établ l’emplac parf plein cœur tun facilit déplac affair …,Positive,19
tres bon hôtel tres propr servic impecc personnel tres gentil restaur top ains petit déjeun recommandon,Positive,16
l’hôtel offre cadr agréabl calm propic détent l’ambianc chaleur personnel l’ensembl accueil servic correct nourritur bon pourr être peu plus vari quelqu …,Positive,23
vérit sansfaut – référent tun hôtel servic étoil lux j’ai séjourn business hôtel tun – montplais peux recommand chaud cet établ coch absolu tout …,Positive,25
l’hotel bon ladiscothequ jusquà h matin auss aujourd’hui apres deux nuite l’hotel reception m’a demand pai consomm min bar lachambr malgr n’ai rien consomm a insist pai n’ai rien consomm,Positive,30
j’ai pass excellent séjour business hotel l’établ propr bien entretenu parfait adapt séjour professionnel grand merc tout personnel gentilless professionnal …,Positive,21
tres bon hotel propr personnel tre gentill serviabl pet déjeun a hauteur étoil a refair,Positive,15
tres bel hôtel propr chaleur personnel extraordinair tres réactif serviabl grand gentilless conqu ambianc général si a point négat trouv manqu lumi …,Positive,23
magnif hôtel équip tres professionnel recommand fort 🇩🇿🇹🇳 …,Positive,9
hôtel sublim tres pratiqu nourritur délici personnel accueil chaleur surtout marou fill récept chambr tres sup propres❤️,Neutral,17
j’ai réserv booking suit mois avant d’arriv garant réserv cart créditl jour dev arriv l’hôtel h a h reçois notif booking cart refus pai …,Neutral,25
jai pass jour cet hôtel franch impecc lhôtel propr chambr tres symp personnel tres pro tres symp égal peux boir verr roof top a létag jai bien appréci …,Neutral,29
séjourn pension cet hôtelendroit propr cuisin tres copieux pension spécial léquip monsieur sécur 😉 mohamed bel oumaim mim tous aid mieux merc …,Positive,23
séjourn plusieur fois a lhôtel business hotel tun cest vrai tres bel hôtel pratiqu bien situ rapport besoin merc a tte léquip sest occup dur séjour début mar …,Positive,29
tres bel hôtel chambr spacieux dun propret impecc deux bar dont derni étag où lon peut boir cocktail regard vu servic impecc cet hôtel frôl pratiqu perfect recommand …,Positive,29
j’ai pass semain cet hôtel j’et tres satisfait équip chaleur commenc récept traver oumaim réception tres accueil dé arriv l’équip sécur auss tres …,Positive,24
‼️‼️à cherch l’av plus honnêt ‼️‼️ bel entré odeur jasmin caress narines🌸🌸 …,Positive,13
tout bien seul inconvénient musiqu tap oreil jusquà h matin malgr maint réclam,Neutral,13
horribl pass chemin discothequ lhôtel pass pir nuit tunis tout simpl hôtel voyageon beaucoup …,Positive,15
tres bon chambr personnel top trop brui nuit aller cet hôtel repos grand chos a fair alentour a pied,Positive,19
hôtel boît nuit toit… a bruit tous soir impossibl dorm avant h matin problémat hôtel « business » c’est dommag car chambr bien personnel agréabl,Neutral,25
accueil chaleur personnel lécout servic impecc nourritur boisson ❤️,Neutral,9
impeccabled laccueil souri tout léquip petitdéjeun délici copieux tres vari séjour encor fois parf propret chambr décor recherch liter xxl repos bien mérit prim lun sky bar loung restaur tres tendanc musiqu liv,Neutral,33
hotel magnif propr personnel tres chaleur bouff vrai délici serveur professionnel riadh merc magnif accueil mme sawssen récept ador 🥰 …,Neutral,21
chambr agréabl global propr bar eme étag agréabl accueil agréabl revanch établ voisin bar létag musiqu fond …,Neutral,18
lhôtel qualit présenc dun boit nuit roof top permet trouv calm lon peut esper dorm cest dommag,Neutral,17
franch arnaqu a ciel ouvert j’ai séjourn pend jour j’ai voulu demand l’av habill machin disent tout pass bien jusqu’à fin séjour demand regl dinar …,Positive,26
hôtel propr décor goût personnel tres sympath liter tres confort lit gigantesqu …,Neutral,13
cet hôtel devr être étoil plutôt étoil chambr joint douch crasseux a trac doigt gras peu partout déco vu chambr don autr appart bruit …,Negative,25
vrai bon choix sejour professionnel tun personnel tres disponibl professionnel chambr impecc tous servic nécessair superb qualit restaur disponibl sein létabl …,Positive,22
posit excellent pet déjeun tres vari bon hôtel propr bon servic …,Positive,12
tres bel hôtel confort propr servic qualit met succulent plus rooftop moin peu brui nuit manqu qu’un sall sport parfair servic cet hôtel,Positive,23
pass excellent séjour suit hannibal rien dir chambr vrai parfait tien remerci saoussen accueil disponibil sourir …,Positive,17
pet hotel centr vill bon emplac servic tré aimabl chambr propr bon rapport qualit prix petit moin vu ru bruit sonos deux bar lhotel nuit weekend recommand difficil trouv mieux prix,Positive,31
bonjour déconseil cet hôtel surtout si cest séjour professionnel premi soir oblig chang drap tâch nourriturechambr tres mal insonoris demand tax …,Negative,22
pens commenc posit alor chambr n’ai rien dir c’est récept auss personnel l’écout client pend point déplais …,Neutral,18
business hôtel hôtel où l’on sent comm chez soic mérit revient personnel chaleur dynam sympath surtout professionnel …,Positive,18
excellent hôtel personnel disponibl souri agréabl tres gentil room servic qualit chambr propr lit tres confort …,Positive,17
servic irréproch collabor collabor cet établ tres cordial efficac chambr tres confort lit haut qualit servic chambr sup établ recommand tout leur prestat,Positive,23
concern the lun sky loung ème bel endroit ambianc tres bon rep copieux délici bémol musiqu tres fort donc pratiqu soir group s’entendr parl serveur chaleur accueil a l’écou,Positive,29
servic parf tres bel accueil personnel top tres tres bel chambr recommand monsieur eric,Positive,14
réserv fait vi hôtel bed pai débit a arriv res cacophon total resolv situat car hôtel rien a voir problem passag sit evit car problem arriv deux …,Neutral,28
hôtel nest compatibl tout una boît nuit jou musiqu tré fort nuit point lon peut écout dé chambr doivent chois sil veulent être hôtel bien boît nuit san aucun …,Positive,30
hôtel bien situ plein centr tun chambresuit tres propr chaleur pet déjeun top variésviennoiseriescrepesfruitsyaourtsnb point plus fort personnel top toujour lécout merc a,Positive,23
